week_date,deviceCategory,uniq_users,addedToCart,conv
2017-05-01 00:00:00+00:00,tablet,457,27.0,5.91
2017-05-08 00:00:00+00:00,desktop,7193,776.0,10.79
2017-05-08 00:00:00+00:00,mobile,2848,148.0,5.2
2017-05-08 00:00:00+00:00,tablet,384,30.0,7.81
2017-05-15 00:00:00+00:00,desktop,8977,771.0,8.59
2017-05-15 00:00:00+00:00,mobile,4137,216.0,5.22
2017-05-15 00:00:00+00:00,tablet,532,28.0,5.26
2017-05-22 00:00:00+00:00,desktop,7722,648.0,8.39
2017-05-22 00:00:00+00:00,mobile,3274,165.0,5.04
2017-05-22 00:00:00+00:00,tablet,467,14.0,3.0
2017-05-29 00:00:00+00:00,desktop,3667,304.0,8.29
2017-05-29 00:00:00+00:00,mobile,1420,59.0,4.15
2017-05-29 00:00:00+00:00,tablet,221,6.0,2.71
